year,manufacturer,fuelType,name,transmission,engine,mileage,listingPrice,variant,age
2022.0,Nissan,Electric,Nissan Leaf 2022 for sale in Karachi,Automatic,cc,"14,005 km",7300000.0,Leaf,3.0
2016.0,Honda,Petrol,Honda City 2016 for sale in Karachi,Manual,1300cc,"72,500 km",2990000.0,City,9.0
2022.0,Suzuki,Petrol,Suzuki Alto 2022 for sale in Karachi,Automatic,660cc,"49,500 km",2825000.0,Alto,3.0
2021.0,Toyota,Petrol,Toyota Corolla 2021 for sale in Karachi,Automatic,1800cc,"54,000 km",6050000.0,Corolla,4.0
2016.0,Audi,Petrol,Audi A6 2016 for sale in Karachi,Automatic,1800cc,"60,000 km",12000000.0,A6,9.0
2018.0,Honda,Petrol,Honda City 2018 for sale in Karachi,Automatic,1500cc,"91,971 km",3700000.0,City,7.0
2020.0,Suzuki,Petrol,Suzuki Jimny 2020 for sale in Karachi,Manual,660cc,"87,000 km",4050000.0,Jimny,5.0
2014.0,Daihatsu,Petrol,Daihatsu Move 2014 for sale in Karachi,Automatic,660cc,"76,000 km",2400000.0,Move,11.0
2023.0,Nissan,Petrol,Nissan Dayz 2023 for sale in Karachi,Automatic,660cc,"5,920 km",4550000.0,Dayz,2.0
2022.0,Toyota,Petrol,Toyota Hiace 2022 for sale in Karachi,Automatic,2700cc,"103,000 km",9200000.0,Hiace,3.0
2020.0,Toyota,Petrol,Toyota Hiace 2020 for sale in Karachi,Automatic,2700cc,"220,000 km",8400000.0,Hiace,5.0
2020.0,Suzuki,Petrol,Suzuki Cultus 2020 for sale in Karachi,Manual,1000cc,"68,000 km",2670000.0,Cultus,5.0
2013.0,Honda,Petrol,Honda Civic 2013 for sale in Karachi,Automatic,1800cc,"100,000 km",3300000.0,Civic,12.0
2006.0,Honda,Hybrid,Honda Civic 2006 for sale in Karachi,Automatic,1300cc,"90,000 km",2580000.0,Civic,19.0
2012.0,Toyota,Petrol,Toyota Corolla 2012 for sale in Karachi,Automatic,1600cc,"141,500 km",2750000.0,Corolla,13.0
2020.0,Toyota,Petrol,Toyota Corolla 2020 for sale in Karachi,Automatic,1800cc,"40,000 km",6000000.0,Corolla,5.0
2022.0,Daihatsu,Petrol,Daihatsu Mira 2022 for sale in Karachi,Automatic,660cc,"14,000 km",3695000.0,Mira,3.0
2020.0,Suzuki,Petrol,Suzuki Every 2020 for sale in Karachi,Automatic,660cc,"62,377 km",2900000.0,Every,5.0
2003.0,Honda,Petrol,Honda Civic 2003 for sale in Karachi,Automatic,1600cc,"107,000 km",1595000.0,Civic,22.0
2021.0,Suzuki,Petrol,Suzuki Every 2021 for sale in Karachi,Automatic,660cc,"67,472 km",3000000.0,Every,4.0
2020.0,Daihatsu,Petrol,Daihatsu Hijet 2020 for sale in Karachi,Automatic,660cc,"131,377 km",2550000.0,Hijet,5.0
2019.0,Honda,Petrol,Honda City 2019 for sale in Karachi,Automatic,1300cc,"136,000 km",3740000.0,City,6.0
2014.0,Suzuki,Petrol,Suzuki Cultus 2014 for sale in Karachi,Manual,1000cc,"85,000 km",1390000.0,Cultus,11.0
2019.0,Honda,Petrol,Honda Civic 2019 for sale in Karachi,Automatic,1800cc,"73,000 km",5550000.0,Civic,6.0
1999.0,Toyota,Petrol,Toyota Vitz 1999 for sale in Karachi,Automatic,1000cc,"98,500 km",1645000.0,Vitz,26.0
2010.0,Mercedes Benz,Petrol,Mercedes Benz C Class 2010 for sale in Karachi,Automatic,6200cc,"28,032 km",11200000.0,Benz C Class,15.0
2013.0,Toyota,Hybrid,Toyota Aqua 2013 for sale in Karachi,Automatic,1500cc,"72,000 km",3900000.0,Aqua,12.0
2021.0,Honda,Hybrid,Honda Vezel 2021 for sale in Karachi,Automatic,1500cc,"48,000 km",11800000.0,Vezel,4.0
2022.0,Toyota,Hybrid,Toyota Corolla Cross 2022 for sale in Karachi,Automatic,1800cc,"16,000 km",13500000.0,Corolla Cross,3.0
2018.0,Ford,Petrol,Ford Mustang 2018 for sale in Karachi,Automatic,4951cc,"18,000 km",42500000.0,Mustang,7.0
2024.0,Suzuki,Petrol,Suzuki Swift 2024 for sale in Karachi,Automatic,1200cc,"11,000 km",4735000.0,Swift,1.0
